ts,inst,lado,entrada,salida,motivo,R,usd,equity
2026-05-18 11:25:00-04:00,MNQ,short,29008.45,28875.1,target,1.989,533.41,56684.97
2026-05-19 05:15:00-04:00,MNQ,short,28918.07,28851.94,target,1.978,529.05,57214.02
2026-05-19 09:50:00-04:00,MNQ,long,28798.78,28891.49,target,1.984,556.23,57770.25
2026-05-19 11:35:00-04:00,MNQ,long,28676.15,28753.1,target,1.981,461.67,58231.92
2026-05-21 11:40:00-04:00,MNQ,short,29133.91,29178.58,stop,-1.0,-268.02,57963.9
2026-05-21 13:15:00-04:00,MNQ,long,29169.19,29329.89,target,1.991,321.4,58285.3
2026-05-22 03:00:00-04:00,MNQ,long,29491.63,29474.22,stop,-1.0,-278.51,58006.79
2026-05-22 05:05:00-04:00,MNQ,long,29503.59,29450.02,stop,-1.0,-214.25,57792.53
2026-05-22 10:05:00-04:00,MNQ,long,29531.99,29473.0,stop,-1.0,-235.94,57556.59
2026-05-22 10:35:00-04:00,MNQ,short,29503.02,29511.01,stop,-1.0,-287.77,57268.83
2026-05-25 03:00:00-04:00,MNQ,short,29905.82,29902.07,target,1.669,150.18,57419.01
2026-05-25 10:10:00-04:00,MNQ,long,29886.86,29876.57,stop,-1.0,-288.22,57130.79
2026-05-25 11:15:00-04:00,MNQ,short,29883.45,29885.7,stop,-1.0,-90.0,57040.79
2026-05-26 02:35:00-04:00,MNQ,long,29736.44,29757.6,target,1.932,550.22,57591.01
2026-05-26 09:45:00-04:00,MNQ,short,29802.75,29860.87,stop,-1.0,-232.5,57358.52
2026-05-27 10:20:00-04:00,MNQ,short,30026.79,29915.46,target,1.987,445.31,57803.83
2026-05-27 18:00:00-04:00,MNQ,long,29887.43,30046.21,target,1.991,317.56,58121.39
2026-05-28 10:00:00-04:00,MNQ,short,29908.59,29923.5,stop,-1.0,-268.33,57853.06
2026-05-28 10:05:00-04:00,MNQ,short,29929.07,29956.01,stop,-1.0,-269.4,57583.66
2026-05-28 10:15:00-04:00,MNQ,short,29961.79,30043.64,stop,-1.0,-163.71,57419.96
2026-05-29 03:55:00-04:00,MNQ,short,30220.29,30222.54,stop,-1.0,-90.0,57329.96
2026-05-29 05:05:00-04:00,MNQ,short,30236.37,30266.13,stop,-1.0,-238.1,57091.86
2026-05-29 06:35:00-04:00,MNQ,long,30235.28,30269.6,target,1.957,549.04,57640.9
2026-05-29 11:00:00-04:00,MNQ,short,30271.02,30301.64,stop,-1.0,-244.95,57395.95
2026-06-02 09:50:00-04:00,MNQ,short,30458.99,30510.35,stop,-1.0,-205.44,57190.51
2026-06-02 13:00:00-04:00,MNQ,short,30635.17,30637.42,stop,-1.0,-90.0,57100.51
2026-06-03 03:05:00-04:00,MNQ,short,30642.33,30666.79,stop,-1.0,-244.64,56855.87
2026-06-03 18:00:00-04:00,MNQ,short,30609.67,30449.53,target,1.991,320.29,57176.16
2026-06-04 03:15:00-04:00,MNQ,long,30464.66,30451.76,stop,-1.0,-283.75,56892.42
2026-06-04 03:25:00-04:00,MNQ,long,30440.91,30444.66,target,1.668,150.08,57042.5
2026-06-04 10:00:00-04:00,MNQ,long,30254.99,30152.46,stop,-1.0,-205.06,56837.43
2026-06-04 10:20:00-04:00,MNQ,short,30162.01,30245.4,stop,-1.0,-166.78,56670.65
2026-06-05 05:15:00-04:00,MNQ,long,30112.12,30156.2,target,1.966,529.01,57199.67
2026-06-08 03:15:00-04:00,MNQ,long,29045.6,29118.43,target,1.98,436.96,57636.63
2026-06-08 07:05:00-04:00,MNQ,short,29166.58,29214.89,stop,-1.0,-193.26,57443.37
2026-06-08 09:55:00-04:00,MNQ,short,29468.42,29322.7,target,1.99,291.44,57734.81
2026-06-08 10:25:00-04:00,MNQ,short,29389.97,29462.25,stop,-1.0,-289.11,57445.7
2026-06-09 03:05:00-04:00,MNQ,short,29585.32,29591.15,stop,-1.0,-233.26,57212.44
2026-06-09 05:25:00-04:00,MNQ,short,29588.07,29647.4,stop,-1.0,-237.31,56975.13
2026-06-09 10:00:00-04:00,MNQ,long,29707.1,29620.0,stop,-1.0,-174.19,56800.93
2026-06-11 10:55:00-04:00,MNQ,long,28757.84,28672.28,stop,-1.0,-171.14,56629.8
